03 apr. 2022 15:15:50,060 INFO  repository.VolunteerRepository 20 <init> - Initializing VolunteerRepository with properties: {teledon.server.port=55556, teledon.jdbc.driver=org.sqlite.JDBC, teledon.jdbc.url=jdbc:sqlite:D:\AN2SEM2\TeledonSockets\teledonTV.db}
03 apr. 2022 15:15:50,068 INFO  repository.CharitableCaseRepository 21 <init> - Initializing CharitableCaseRepository with properties: {teledon.server.port=55556, teledon.jdbc.driver=org.sqlite.JDBC, teledon.jdbc.url=jdbc:sqlite:D:\AN2SEM2\TeledonSockets\teledonTV.db}
03 apr. 2022 15:15:50,076 INFO  repository.DonorRepository 20 <init> - Initializing DonorRepository with properties: {teledon.server.port=55556, teledon.jdbc.driver=org.sqlite.JDBC, teledon.jdbc.url=jdbc:sqlite:D:\AN2SEM2\TeledonSockets\teledonTV.db}
03 apr. 2022 15:15:50,076 INFO  repository.DonationRepository 23 <init> - Initializing DonationRepository with properties: {teledon.server.port=55556, teledon.jdbc.driver=org.sqlite.JDBC, teledon.jdbc.url=jdbc:sqlite:D:\AN2SEM2\TeledonSockets\teledonTV.db}
03 apr. 2022 15:18:53,440 INFO  repository.VolunteerRepository 20 <init> - Initializing VolunteerRepository with properties: {teledon.server.port=55556, teledon.jdbc.driver=org.sqlite.JDBC, teledon.jdbc.url=jdbc:sqlite:D:\AN2SEM2\TeledonSockets\teledonTV.db}
03 apr. 2022 15:18:53,440 INFO  repository.CharitableCaseRepository 21 <init> - Initializing CharitableCaseRepository with properties: {teledon.server.port=55556, teledon.jdbc.driver=org.sqlite.JDBC, teledon.jdbc.url=jdbc:sqlite:D:\AN2SEM2\TeledonSockets\teledonTV.db}
03 apr. 2022 15:18:53,448 INFO  repository.DonorRepository 20 <init> - Initializing DonorRepository with properties: {teledon.server.port=55556, teledon.jdbc.driver=org.sqlite.JDBC, teledon.jdbc.url=jdbc:sqlite:D:\AN2SEM2\TeledonSockets\teledonTV.db}
03 apr. 2022 15:18:53,448 INFO  repository.DonationRepository 23 <init> - Initializing DonationRepository with properties: {teledon.server.port=55556, teledon.jdbc.driver=org.sqlite.JDBC, teledon.jdbc.url=jdbc:sqlite:D:\AN2SEM2\TeledonSockets\teledonTV.db}
03 apr. 2022 15:55:54,054 INFO  repository.VolunteerRepository 20 <init> - Initializing VolunteerRepository with properties: {teledon.server.port=55556, teledon.jdbc.driver=org.sqlite.JDBC, teledon.jdbc.url=jdbc:sqlite:D:\AN2SEM2\TeledonSockets\teledonTV.db}
03 apr. 2022 15:55:54,063 INFO  repository.CharitableCaseRepository 21 <init> - Initializing CharitableCaseRepository with properties: {teledon.server.port=55556, teledon.jdbc.driver=org.sqlite.JDBC, teledon.jdbc.url=jdbc:sqlite:D:\AN2SEM2\TeledonSockets\teledonTV.db}
03 apr. 2022 15:55:54,065 INFO  repository.DonorRepository 20 <init> - Initializing DonorRepository with properties: {teledon.server.port=55556, teledon.jdbc.driver=org.sqlite.JDBC, teledon.jdbc.url=jdbc:sqlite:D:\AN2SEM2\TeledonSockets\teledonTV.db}
03 apr. 2022 15:55:54,067 INFO  repository.DonationRepository 23 <init> - Initializing DonationRepository with properties: {teledon.server.port=55556, teledon.jdbc.driver=org.sqlite.JDBC, teledon.jdbc.url=jdbc:sqlite:D:\AN2SEM2\TeledonSockets\teledonTV.db}
